,,DETERMINE WHAT,,Measurement Requirements (DATA REQUIREMENTS),,,,,,
"""Goal""",Science Objectives,Science Actions,Specific Analyses,Astrophysical Parameters (Level 1 Measurement Req),Rationale for Measurement Parameters,Necessary EM observations/EM science actions that are enabled,Challenges or Needs,Assignees,Second Look,Notes/references
"1: Understanding the Universe, how it formed and evolved.",1a: Measure the Hubble Constant (resolve the tension),1a-1: Measure the distance to GW sources and compare with redshift measurements of EM counterparts,1a-1a: Perform waveform analysis of MBHB mergers to determine distance.,"2.1.b, 2.3.b",Needs to be close enough for EM observations and assumes advance notification to enable searches for EM counterparts; details of the observational requirements depend on theory and EM facilities' capabilities; test case used in Column E may need refinement,z = 1.0; timescale ~ 1 month before merger (2.1.b); z=2.0; timescale ~ 1 day before merger (2.3.b),,John B.,,
,,,1a-1b: BNS mergers,1.1.f,"for two 1.4 M_sun NSs, with max GW frequency  ~1Hz, system is ~6 days before merger when it gets out of band (needs accurate localization before that to provide advance warning for EM observations). More accurate distance estimates require knowledge of the binary inclination angle--breaking the degeneratcy between inclination angle and luminosity distance would require detecting either higher-order modes or measuring both + and x polarizations using multiple GW detectors! [Toni's note: The necessary localizations I found in the literature were 20 deg^2 with current and 3rd-gen. GW detectors, based on limiting optical observations to four pointings with the Vera Rubin Observatory. I set the required precision to 1 deg on the theory that we'd be doing much better if we could limit observations to 1 pointing. That being said, this is much bigger than what we're targeting with a GWI. With the localizations we have been talking about for the GWI, we'd probably do better pursuing the technique of matching GW sources to galaxy catalogs in order to get the redshifts. But this would probably be a bread-and-butter technique by the time we would have the GWI.]",need galaxy catalogs for galaxy identification,"GRB detections require jet-on, it's going to be a fraction of the events",Cecilia,Toni,https://iopscience.iop.org/article/10.3847/2041-8213/abf502
,,,1a-1c: NS-BH,1.2.c,"for M_BH = 5M_sun and M_NS = 1.4 M_sun, with max GW frequency ~1Hz, system is ~2 days before merger when it gets out of band [Toni's note: The necessary localizations I found in the literature were 20 deg^2 with current and 3rd-gen. GW detectors, based on limiting optical observations to four pointings with the Vera Rubin Observatory. I set the required precision to 1 deg on the theory that we'd be doing much better if we could limit observations to 1 pointing. That being said, this is much bigger than what we're targeting with a GWI. With the localizations we have been talking about for the GWI, we'd probably do better pursuing the technique of matching GW sources to galaxy catalogs in order to get the redshifts. But this would probably be a bread-and-butter technique by the time we would have the GWI.]",need galaxy catalogs for galaxy identification,"limited cases will produce EM counterpart, if M_BH >> 5 M_sun then NS is swallowed whole",Cecilia,Toni,
,,,1a-1d: EMRI (TDE),FIXME,"Question: isn't this a subclass of EMRIs? (Note from Toni: Currently, there isn't an EMRI test case for SMBH + MS*. You can add an appropriate test case.)",,,Scott,,
,,,1a-1e: WD-WD -> Type 1a SN (feasible?),1.4.a,Based on Decigo study example. Use 1+1Msun@z=0.01.,,,John B.,Ira,"arxiv:1910:01063: This problem studied for Decigo
Local Type Ia rate: (0.301+/-0.062)x10−4SNyr−1 Mpc−3
10 events/yr for z=0.00968 (42Mpc) for 1M⊙−1M⊙ "
,,,1a-1f: IMRI (IMBH-WD (?)),FIXME,,,,John B.,Ira,
,,,1a-1g: EMRI (MBH-WD),FIXME,,,,John B.,Ira,
,,1a-2: Measure distances of GW sources and associate with host galaxies to determine redshift.,1a-2a: Perform waveform analysis of MBH binary systems to determine distance and localize to host galaxy with high angular precision.,"2.1.f, 2.3.c",Average angular size of galaxies at z = 1 is ~ 6 sq. arcsec,,,Ira,Scott,
,,,1a-2b:SOBH binaries,1.3.f,,,,Ira,,
,,,1a-2c: BNS,1.1.g,"Without EM counterpart, need tidal deformability measurement to identify binary components as NSs (lower mass gap is uncertain, and primordial black holes could have any mass). Tidal deformability effects increase with frequency. By 2050, EOS (and therefore tidal deformability) should be mostly known; this provides an independent GW-only distance and redshift estimate (because then we'll know the source-frame frequency at which different tidal effects come in)",need galaxy catalogs,"BNSs can be kicked out of their host galaxy, in such cases no obvious association is possible",Cecilia,Toni,
,,,1a-2d: NS-BH,1.2.d,"Same as for BNS, but binary tidal deformability is lower with only one NS in the binary",need galaxy catalogs,NS-BHs can also be kicked out of their host galaxy,Cecilia,Toni,
,,,1a-2e: WD binary,4.1.e,"Try to identify galaxy and measure binary at z=0.2=1Gpc. Est 50 galx/deg^2 within z=0.2+-0.01.  Likely ID of galx then requires localization to (9')^2.  The likely frequency of best cases is ~0.03Hz (upper edge), with Mchirp~1.0MSun.  LISA's horizon is ~1.5Mpc (snr~7) for such system-->need 700x LISA sensitivity to reach 1Gpc. ",,,John B.,,"--M*>10^8 Galx density of 0.03/Mcp^3 inferred from Fig 1 of doi:10.3847/0004-637X/830/2/83
--Used NewWright'sCalc to get dist and  0.19<z<0.21 volume 0.68Gpc^3 => 2e6galx => 50galx/deg^2
--LISA DWD horizon params from: 	arXiv:1808.05959 Fig 2."
,,,1a-2f: EMRI,"3.1.b, 3.2.b, 3.3.f, 3.4.b","MacLeod & Hogan (2008) estimates H0 measurement with precision ~ 1% if we can measure 20 EMRIs w/in z = 0.5 w/ sky localization scaling like \Delta \theta = 4 z deg, so sky localization < 4 deg^2",need galaxy catalogs,,Zach N.,,
,,,1a-2g: IMRI,"5.1.e, 5.2.d, 5.3.d, 5.4.d, 5.5.d, 5.6.b, 5.7.b",,,,Zach N.,,
,,1a-3: Compare distributions of populations of GW sources with galaxy distributions (?),1a-3a: Posterior (statistical) analyses of populations of GW systems in comparison with astronomical catalogs,FIXME,"Need good angular resolution? Localize to a galaxy cluster rather than an individual galaxy? (Clusters ~ 1--10 Mpc); [Note from Toni: Actually, could have a case where you localize to individual galaxies (allowing for study of the host galaxies of GW sources) and a more forgiving localization test case. But why is this analysis ""GW systems""?]",Reasonably complete galaxy catalogs out to high redshifts (need to quantify the redshift),Will ,,,
,,,1a-3b: SOBH binaries,1.3.g,"Limit for hubble flow measurement is GW luminosity distance which is intrinsic error * sqrt(N_sources). Few good sources vs. lots of average sources?; [Note from test cases sheet: H0 measurements doing a statistical comparison between distributions of GW sources and distributions of galaxies; the rationale for the required precision is being able to localize GW sources to a galaxy cluster (essentially, you just need enough precision to be able to determin whether GW sources follow the galaxy distribution); will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations]",Need galaxy catalogs for cross-matching or statsitical comparisons. May be hard for large redshifts,What is the space advantage? 3G terrestrial detectors will get lots of SOBH systems,Ira,,https://doi.org/10.1093/mnras/sty057
,,,1a-3c: BNS,1.1.h,"May need to worry about systems kicked out of their host galaxies. The projected offsets span 0.5 − 75 kpc with a median of about 5 kpc (see Section 7 of https://arxiv.org/pdf/1311.2603.pdf). On the >100 kpc scale, we can probably be confident that NSNS will follow the distribution of galaxies.",need galaxy catalogs,"NSs can be formed at z ~ few, but NSNS formation channels (uncertain) matter more to make the NSNS merge at high z ",Cecilia,Toni,
,,,1a-3d: NS-BH,1.2.e,"NS-BHs should be detectable to even larger distances than BNS. Distance/redshift determinations at z > 1 from GWs will probe intermediate ranges currently unavailable to the cosmic distance ladder, and intermediate between Type Ia SNe and CMB.",need galaxy catalogs,"There is, so far, no information on the population of NS-BHs (also not observed in EM). Hopefully will have accumulated more information by 2050...",Cecilia,Toni,
,,,1a-3e: WD binary,4.1.c,"H0 measurements doing a statistical comparison between distributions of GW sources and distributions of galaxies; the rationale for the required precision is being able to localize GW sources to a galaxy cluster (essentially, you just need enough precision to be able to determin whether GW sources follow the galaxy distribution); will need some way to measure luminosity distance, so either the source will need to be chirping or will have to be able to detect higher-order modes or use multiple detectors or long-baseline observations",,,John B.,,
,,,1a-3f: EMRI,FIXME,,,,,,
,,,1a-3g: IMBH binaries,FIXME,,,,,,
,,1a-4: Use population of GW sources w/o EM counterparts to estimate Hubble Constant directly,1a-4a: Statistical analysis of large numbers of GW systems. Use astrophysical priors to constrain intrinsic luminosity.,FIXME,"Given the rationale for using BNS systems, would it be feasible to do this with any other type of GW source? (Possibly NS-BH, but how well could we be able to determine the masses of the individual objects within a compact object binary? Maybe WD-WD binaries?)",,,?,,
,,,1a-4b: NS-NS,1.1.i,Ira recalls Curt Cutler discussing this in a talk. Basic idea is that NS mass function is constrained so you can measure the redshift by comparing the redshifted mass from the GW waveform with the expected mass. See also Messenger & Read (2012) -- tidal deformability,,,Cecilia,Toni,Ira recalls Curt Cutler discussing this in a talk. Basic idea is that NS mass function is constrained so you can measure the redshift by comparing the redshifted mass from the GW waveform with the expected mass. 
,,1a-5: Use strongly-lensed gravitational waves to measure the Hubble Constant.,1a-5a: MBHB,FIXME,,,,Toni,,
,1b: Map out distributions of dark matter,1b-1: Study GW signals lensed by a foreground distribution of dark matter,"1b-1a: Identify lensed MBH binary signals (look for events that look the same, but with a time delay; Look for interference between signals that are long duration or that arrive close together in time) ","2.1.c, 2.1.d, 2.1.e","Considerations:
-- Estimates of the lens mass require independent measurements of the fringe spacing imprinted on the lensed waveform and the level of amplification of the fringe oscillations
-- Can expect the interference fringe in the lensed waveform whenver the time delay (which depends only on the mass of the lens, to leading order) between the images is comparable with the GW period --> The GW sources to be used should be comparable in mass to the lens <-- This is assuming a point-mass lens model
-- For galaxies and galaxy clusters, a common, more realistic lens model is that of singular isothermal spheres, in which case the Einstein ring and time delay are related to the velocity disperson of stars or galaxies rather than the lens mass 

[Old note (not sure about relevance): y parameter can be determined from amplitudes of lensed signals, but amplitude is degenerate with luminosity distance and intrinsic mass scale of merger. Being able to spatially distinguish lensed images would provide an additional measurement of y, allowing to break this degeneracy. Measurement of the time delay between lensed images allows for inferences of cosmological parameters. If want to  measure the total mass of a cluster, the Einstein ring would be ~ tens of arcseconds (with assumptions about the cluster mass and the distances). Better angular resolution will allow for measurements at greater distances.]",,,Toni,,https://arxiv.org/pdf/2112.10773.pdf; https://arxiv.org/pdf/2109.03213.pdf; https://arxiv.org/pdf/2002.01479.pdf
,,,1b-1b: SOBH binaries,"1.3.c, 1.3.d, 1.3.e",,,Sensitivity demands might make this out of reach; frequency ranges more friendly for 3rd-gen. ground-based,,,
,,,1b-1c: BNS,"1.1.c, 1.1.d, 1.1.e",,,Sensitivity demands might make this out of reach; frequency ranges more friendly for 3rd-gen. ground-based,,,
,,,1b-1d: NS-BH,FIXME,,,Sensitivity demands might make this out of reach; frequency ranges more friendly for 3rd-gen. ground-based,,Cecilia,
,,,1b-1e: WD binary,"4.1.c, 4.1.d","Peak of Type 1a rate is at z = 2.0, not sure you many WDs at much higher redshifts, but there's a lot of uncertainty beyond z~1.5; Need to check the probability of lensing out to z ~ 2.0",,"Long-lived sources, but need some way to measure d_L; at higher redshifts, the required sensitivity might make this challenging",,,
,,,1b-1f: EMRI,FIXME,,,,,,
,,,1b-1g: IMRI,FIXME,,,,,,
,,1b-2: Look for weak lensing of GWs,"1b-2a: Perform statistical analysis of MBHB mergers in order to identify sources that appear to be closer than indicated by redshift measurements, indicating systems are weakly lensed. ",FIXME,"(need an association with a redshift and compare GW luminosity distance from the waveform and compare with redshift and if d_L appears closer, then the signal is weakly lensed)",Need the capability to disentangle signals. Also need astronomical catalogs.,,Toni,,
,,,1b-2b: MBH binary systems localized to host galaxy,FIXME,,,,,,
,,,1b-2c: SOBH binary systems localized to host galaxy,FIXME,,,,,,
,,,1b-2d: BNS mergers,FIXME,,,,,,
,,,1b-2e: BNS systems localized to host galaxy,FIXME,,,,,,
,,,1b-2f: NS-BH mergers,FIXME,,,,,,
,,,1b-2g: NS-BH systems localized to host galaxy,FIXME,,,,,,
,,,1b-2h: TDE,FIXME,,,,,,
,,,1b-2i: MBH-WD,FIXME,,,,,,
,,,1b-2j: EMRI localized to host galaxy,FIXME,,,,,,
,,,1b-2k: WD-WD -> Type 1a SN (feasible?),FIXME,,,,,,
,,,1b-2l: WD binary systems localized to host galaxy,FIXME,,,,,,
,,,1b-2m: IMBH-WD (?),FIXME,,,,,,
,,,1b-2n: IMRIs localized to host galaxy,FIXME,,,,,,
,,,1b-2o: Look for an anisotropy in the distance distributions of GW sources across the sky,,Feasible? Need a lot of sources. To what angular scale could we do this or do we need to do this?,,,,,
,,1b-3: Measure density of .. IMBH or MBH with a small companion -- companion experiences drag due to encounters with possible dark matter clumps,1b-3a: Identify signatures in the EMRI waveform associated with the encounters.,SNR O(1000),,,,Zach,Scott,
,,,1b-3b: IMRI,5.5.c,Need good sensitivity and good timing resolution,,,,,
,1c: Understand the nature of dark matter.,1c-1: Localize BH binaries within the dark matter halo.,1c-1a: Identify and characterize GW signals from BH binaries prior to merger and compile population statistics.,FIXME,,,,?,,
,,1c-2: Search for primordial black holes in binaries with MBH (?).,1c-2a: Measure the characteristics of GW signals from EMRI sources to identify  companions with masses lower than predicted from astrophysical channels.,FIXME,,,,Zach,Scott,
